Question,Tag
Olá este aparelho é novo ou vitrine?,condicao
Tem xs 256 g .. qual valor ??,oferta
Xs 258 g ..porque eu já comprei a capinha .. aí tou na procura do xs .. mas queria ver o valor do 258 g,oferta
"Blzz fechando esse mês , vocês vão ter em estoque xs .?? 64 .. Quanto está o xs 128g",estoque
"Eu comprando amanhã , quando vcoes me enviam ? . E quanto tempo demora para.chegar em Garuva SC.",entrega
"Boa noite, ainda tem o cinza espacial?",cor
"Ótimo! Vi em alguns posts que vem uma película junto, continua dessa forma? E última pergunta, o celular já foi ligado, mas nunca foi utilizado e nem colocado em vitrine, certo?",condicao
Só tem a cor prata e dourada? Quando chega o preto?,cor
"Olá, voce tem na cor preto?",cor
Ok obg pela resposta,agradecimento
Posso pagar parcelamento no carnê?,pagamento
Pagamento à vista tem desconto amigo?,pagamento
é o max? com a tela maior?,especificacoes-tecnicas
Tem nota fiscal?,nf
Boa tarde vc tem o na cor ouro? qual a garantia?,cor
Saude da bateria 100%? cor cinza-espacial?,especificacoes-tecnicas
aparelho original Apple?,original
Olá,agradecimento
"entendi, me interessei muito pelo produto",agradecimento
Envia pra todo Brasil??? E tem como parcela em 5×?? Ou mais???,frete
"me da certeza que NAO é aqueles recondicionados ou CPO ou de ""vitrine""? é original NUNCA aberto ? aguardo",condicao
Garantia do gold ate setembro?,garantia
"Boa noite , O produto é novo sem indicio de uso . Esta ainda com o plástico quando e aberto , por que esta aberto ? fico no aguardo",condicao
Vou comprar no nome de minha mulher Wilza Mello ok,agradecimento
Vou realizar a como está entregando o correio né. Obrigado.,agradecimento
Bom dia! Vc tem estoque o ouro vou comprar agora obrigado.,estoque
Esse é o modelo Americano?,especificacoes-tecnicas
Garantia de 1 ano Apple?  Por que open box? Gostaria de mais detalhes...,garantia
O aparelho é novo ou recondicionado? Tem algum detalhe ?,condicao
Vc consegue fazer por 3500?,oferta
Ele é importado ou nacional? Era de vitrine? Possui alguma marca de uso? Obrigado!!!,condicao
Ganho uma capinha de brinde ?,brinde
Já que é open box da pra enviar o brinde em,brinde
Bom dia! Há possibilidade de realizar o pagamento em 2 cartões?,pagamento
No site próprio de vcs consigo fazer??,contato
Boa tarde na compra de 2 consegue parcelar em 24x,pagamento
Esse iPhone é novo vem com todas garantia cx etc ??? Tive problema com outra compra de iPhone NÃO FOI COM VOCÊS !!,condicao
"não estou querendo saber como se faz pra calcular, até pq já sei, mas 2.999 reais de frete é de pedir tapa na cara",frete
"Boa noite, Gostaria de pagar 1500 no boleto e o restante no cartão teria como fazer isso ??",pagamento
Bem que vocês poderiam fazer uma promoção de páscoa e colocar e ele por 3100 que eu comprava na hora,oferta
quais as medidas da caixa e peso?,especificacoes-tecnicas
Frete e muito caro,frete
dourado consigo pegar amanhã as 12h?,entrega
"Quais cores vocês tem disponíveis além dessa, deste anúncio?",cor
"Este dispositivo se trata da versão original do Iphone XR, correto?",especificacoes-tecnicas
"O aparelho vem acompanhado de todos os acessórios(fone, carregador, chave do chip e caixa)?",acessorios
Boa tarde !  Gostaria de saber se vcs tem a cor branca ?,cor
"Esses dias tava 3100, vai voltar esse preço? Queria comprar mas tava esperando virar o cartão",oferta
"2.999 reais de frete pro meu CEP, achei meio caro viu",frete
"Porque que pra meu CEP está 1000 reais, é um absurdo esse valor",frete
"Olá, bom dia. É possível pagar utilizando o saldo do MercadoPago e parcelar o resto do valor? Obrigado.",pagamento
recebo a nota fiscal em meu nome? antes do envio do produto?,nf
Quero cor branco,cor
Garantia appe?,garantia
Nota fiscal em meu nome?,nf
comprando agora envia amanha?,entrega
"Os produtos estão no Brasil msm?  Pq meu CEP é 45900-000 e tá me cobrando 179.90 de frete , é um absurdo... Compro direto produtos aqui no Brasil pelo MercadoLivre e pago 30 a 50 reais sempre... Pq esse exagero no frete?",frete
"Olá! Não teria como fazer um frete mais em conta? Quase 90,00 para o cep 20.950-004...",frete
O frete é esse valor mesmo 3 mil reais ????,frete
O frete pra 59856-000 fica quanto?,frete
Pq o frete é caro desse jeito? Tinha q ser frete grátis.. Produtos de 100 reais sai com frete grátis. Ele é enviado pelos Correios?,frete
tem na cor branca?,cor
Porque a demora de mais de 30 dias para entregas em Fortaleza??,entrega
"Sim, porém já foi subtraído o valor do limite do meu cartão, nao deveria ter constado o pagamento Já?",pagamento
"Boa tarde Efetuei a compra, já constou no limite do meu cartão mas ainda não confirmou o pagamento",pagamento
"Não estou achando a opção ""fale com o vendedor""",contato
"Boa tarde Efetuei a compra, já constou no limite do meu cartão mas ainda não confirmou o pagamento aqui, pq?",pagamento
"Oi, boa tarde!   Gostaria de saber se vcs poderiam negociar dessa formar, eu daria 2 mil no cartão, e o restante parcelaria de 3 vezes?  É que estou precisando muito de um celular.",pagamento
"Faz 2,800 a vista?",oferta
O valor do frete é o preço do produto,frete
"Queria dar 1500,00 de entrada e parcelar o restante, consigo essa possibilidade?",oferta
Posso Dá uma entrada pelo Boleto e resto no cartão de crédito?,pagamento
"Bom dia!!, nenhuma possibilidade de retirada ou frete grátis? o valor cobrado para frete esta altissimo!!",frete
oi em quando tempo faz o envio???,entrega
